[0.000000] (-) TimerEvent: {}
[0.004554] (micro_ros_setup) JobQueued: {'identifier': 'micro_ros_setup', 'dependencies': OrderedDict()}
[0.646398] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/husarion/uros_ws/install/micro_ros_setup/./config/client_ros2_packages.txt\n'}
[0.647008] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/husarion/uros_ws/install/micro_ros_setup/./config/zephyr\n'}
[0.647607] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/husarion/uros_ws/install/micro_ros_setup/./config/zephyr/dev_ros2_packages.txt\n'}
[0.648248] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/husarion/uros_ws/install/micro_ros_setup/./config/zephyr/dev_uros_packages.repos\n'}
[0.649372] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/husarion/uros_ws/install/micro_ros_setup/./config/zephyr/list_apps.sh\n'}
[0.651286] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/husarion/uros_ws/install/micro_ros_setup/./config/zephyr/generic\n'}
[0.652305] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/husarion/uros_ws/install/micro_ros_setup/./config/zephyr/generic/flash.sh\n'}
[0.653440] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/husarion/uros_ws/install/micro_ros_setup/./config/zephyr/generic/package.xml\n'}
[0.655594] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/husarion/uros_ws/install/micro_ros_setup/./config/zephyr/generic/supported_platforms\n'}
[0.660253] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/husarion/uros_ws/install/micro_ros_setup/./config/zephyr/generic/build.sh\n'}
[0.666443] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/husarion/uros_ws/install/micro_ros_setup/./config/zephyr/generic/board.repos\n'}
[0.669257] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/husarion/uros_ws/install/micro_ros_setup/./config/zephyr/generic/reset.sh\n'}
[0.675539] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/husarion/uros_ws/install/micro_ros_setup/./config/zephyr/generic/configure.sh\n'}
[0.676915] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/husarion/uros_ws/install/micro_ros_setup/./config/zephyr/generic/client-colcon.meta\n'}
[0.680596] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/husarion/uros_ws/install/micro_ros_setup/./config/zephyr/generic/create.sh\n'}
[0.681754] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/husarion/uros_ws/install/micro_ros_setup/./config/zephyr/generic/client_uros_packages.repos\n'}
[0.682692] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/husarion/uros_ws/install/micro_ros_setup/./config/host\n'}
[0.683800] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/husarion/uros_ws/install/micro_ros_setup/./config/host/dev_ros2_packages.txt\n'}
[0.684802] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/husarion/uros_ws/install/micro_ros_setup/./config/host/client_ros2_packages.txt\n'}
[0.685751] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/husarion/uros_ws/install/micro_ros_setup/./config/host/dev_uros_packages.repos\n'}
[0.696429] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/husarion/uros_ws/install/micro_ros_setup/./config/host/generic\n'}
[0.697096] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/husarion/uros_ws/install/micro_ros_setup/./config/host/generic/flash.sh\n'}
[0.697848] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/husarion/uros_ws/install/micro_ros_setup/./config/host/generic/package.xml\n'}
[0.698454] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/husarion/uros_ws/install/micro_ros_setup/./config/host/generic/build.sh\n'}
[0.698972] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/husarion/uros_ws/install/micro_ros_setup/./config/host/generic/client_host_packages.repos\n'}
[0.699473] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/husarion/uros_ws/install/micro_ros_setup/./config/host/generic/reset.sh\n'}
[0.699959] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/husarion/uros_ws/install/micro_ros_setup/./config/host/generic/create.sh\n'}
[0.700456] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/husarion/uros_ws/install/micro_ros_setup/./config/host/generic/client-host-colcon.meta\n'}
[0.700968] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/husarion/uros_ws/install/micro_ros_setup/./config/freertos\n'}
[0.703788] (-) TimerEvent: {}
[0.704568] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/husarion/uros_ws/install/micro_ros_setup/./config/freertos/nucleo_f767zi\n'}
[0.711809] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/husarion/uros_ws/install/micro_ros_setup/./config/freertos/nucleo_f767zi/flash.sh\n'}
[0.712613] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/husarion/uros_ws/install/micro_ros_setup/./config/freertos/nucleo_f767zi/package.xml\n'}
[0.713661] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/husarion/uros_ws/install/micro_ros_setup/./config/freertos/nucleo_f767zi/build.sh\n'}
[0.714615] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/husarion/uros_ws/install/micro_ros_setup/./config/freertos/nucleo_f767zi/board.repos\n'}
[0.715365] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/husarion/uros_ws/install/micro_ros_setup/./config/freertos/nucleo_f767zi/reset.sh\n'}
[0.716289] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/husarion/uros_ws/install/micro_ros_setup/./config/freertos/nucleo_f767zi/configure.sh\n'}
[0.716985] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/husarion/uros_ws/install/micro_ros_setup/./config/freertos/nucleo_f767zi/client-colcon.meta\n'}
[0.721289] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/husarion/uros_ws/install/micro_ros_setup/./config/freertos/nucleo_f767zi/create.sh\n'}
[0.722219] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/husarion/uros_ws/install/micro_ros_setup/./config/freertos/nucleo_f767zi/client_uros_packages.repos\n'}
[0.726697] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/husarion/uros_ws/install/micro_ros_setup/./config/freertos/crazyflie21\n'}
[0.727502] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/husarion/uros_ws/install/micro_ros_setup/./config/freertos/crazyflie21/flash.sh\n'}
[0.728290] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/husarion/uros_ws/install/micro_ros_setup/./config/freertos/crazyflie21/package.xml\n'}
[0.729086] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/husarion/uros_ws/install/micro_ros_setup/./config/freertos/crazyflie21/build.sh\n'}
[0.730124] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/husarion/uros_ws/install/micro_ros_setup/./config/freertos/crazyflie21/board.repos\n'}
[0.730883] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/husarion/uros_ws/install/micro_ros_setup/./config/freertos/crazyflie21/configure.sh\n'}
[0.731611] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/husarion/uros_ws/install/micro_ros_setup/./config/freertos/crazyflie21/client-colcon.meta\n'}
[0.732359] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/husarion/uros_ws/install/micro_ros_setup/./config/freertos/crazyflie21/create.sh\n'}
[0.733117] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/husarion/uros_ws/install/micro_ros_setup/./config/freertos/crazyflie21/client_uros_packages.repos\n'}
[0.733912] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/husarion/uros_ws/install/micro_ros_setup/./config/freertos/dev_ros2_packages.txt\n'}
[0.734763] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/husarion/uros_ws/install/micro_ros_setup/./config/freertos/olimex-stm32-e407\n'}
[0.735580] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/husarion/uros_ws/install/micro_ros_setup/./config/freertos/olimex-stm32-e407/flash.sh\n'}
[0.736468] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/husarion/uros_ws/install/micro_ros_setup/./config/freertos/olimex-stm32-e407/package.xml\n'}
[0.737265] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/husarion/uros_ws/install/micro_ros_setup/./config/freertos/olimex-stm32-e407/build.sh\n'}
[0.743671] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/husarion/uros_ws/install/micro_ros_setup/./config/freertos/olimex-stm32-e407/board.repos\n'}
[0.744408] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/husarion/uros_ws/install/micro_ros_setup/./config/freertos/olimex-stm32-e407/reset.sh\n'}
[0.745168] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/husarion/uros_ws/install/micro_ros_setup/./config/freertos/olimex-stm32-e407/configure.sh\n'}
[0.745908] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/husarion/uros_ws/install/micro_ros_setup/./config/freertos/olimex-stm32-e407/client-colcon.meta\n'}
[0.746578] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/husarion/uros_ws/install/micro_ros_setup/./config/freertos/olimex-stm32-e407/create.sh\n'}
[0.747144] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/husarion/uros_ws/install/micro_ros_setup/./config/freertos/olimex-stm32-e407/client_uros_packages.repos\n'}
[0.747649] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/husarion/uros_ws/install/micro_ros_setup/./config/freertos/nucleo_f446re\n'}
[0.748560] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/husarion/uros_ws/install/micro_ros_setup/./config/freertos/nucleo_f446re/flash.sh\n'}
[0.749457] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/husarion/uros_ws/install/micro_ros_setup/./config/freertos/nucleo_f446re/package.xml\n'}
